lane,loose_hits,strict_hits,strict_share_pct,open_public_strict,buyers_strict,median_estimated_value,median_award_value,bidder_evidence_rows,median_bidders,single_bid_pct,physical_complex_collisions,install_collisions,onsite_event_collisions,labour_collisions
Office supplies / consumables resale,2889,1983,68.64,1512,1420,139087.0,252000.0,309,2.0,25.89,10,10,20,0
Recruitment / temporary staffing,5458,1328,24.33,546,799,6000000.0,488787.5,903,5.0,14.95,234,7,51,124
Software licences / SaaS resale,3245,819,25.24,194,395,5236438.265000001,89630.05,238,1.0,62.61,78,13,30,7
Training / e-learning,1934,472,24.41,162,294,1025000.0,165710.5,136,3.0,33.82,110,9,44,4
Promotional merchandise,190,142,74.74,97,112,992000.0,200000.0,76,3.0,40.79,0,0,0,0
Courier / mail fulfilment,917,137,14.94,64,100,1130500.0,300000.0,67,3.0,22.39,216,44,30,1
Event support / production,387,14,3.62,7,12,317573.0,400000.0,18,4.0,11.11,8,4,37,0
Hardware / AV resale,18702,0,0.0,0,0,,,,,,1317,321,152,8
Uniforms / PPE resale,3503,0,0.0,0,0,,,,,,123,14,32,1
Signage / display production,4076,0,0.0,0,0,,,,,,600,102,57,0
